Blueprint 1
Blueprint 1: Each ore robot costs 4 ore. Each clay robot costs 4 ore. Each obsidian robot costs 3 ore and 19 clay. Each geode robot costs 4 ore and 15 obsidian.

Direct:
Minute 5 -> Clay Bot
Minute 25 -> Obsidian Bot

Minute 5 -> Clay Bot
Minute 9 -> Clay Bot

MINUTE	| ORE		| ORE BOT	| CLAY	| CLAY BOT	| OBISIDAN	| OBSIDIAN BOT	| GEODE		| GEODE BOT
1		| 	1		| 	1		|	0	|	0		|	0		|	0			|	0		|	0
2		| 	2		| 	1		|	0	|	0		|	0		|	0			|	0		|	0
3		| 	3		| 	1		|   0	|	0		|	0		|	0			|	0		|	0
4		|	4		| 	1		|	0	|	0		|	0		|	0			|	0		|	0
5		|	1		|	2		|	0	|	0		|			|				|			|	
6		|	3		|	2		|	0	|	0		|			|				|			|	
7		|	5		|	2		|	0	|	0		|			|				|			|	
8		|	3		|	3		|	0	|	0		|			|				|			|	
9		|	6		|	3		|	0	|	0		|			|				|			|	
10		|	5		|	4		|	0	|	0		|			|				|			|	
11		|			|			|	0	|	0		|			|				|			|	
12		|			|			|	0	|	0		|			|				|			|	
13		|			|			|	0	|	0		|			|				|			|	
14		|			|			|	0	|	0		|			|				|			|	
15		|			|			|	0	|	0		|			|				|			|	
16		|			|			|	0	|	0		|			|				|			|	
17		|			|			|	0	|	0		|			|				|			|	
18		|			|			|	0	|	0		|			|				|			|	
19		|			|			|	0	|	0		|			|				|			|	
20		|			|			|	0	|	0		|			|				|			|	
21		|			|			|	0	|	0		|			|				|			|	
22		|			|			|	0	|	0		|			|				|			|	
23		|			|			|	0	|	0		|			|				|			|	
24		|			|			|	0	|	0		|			|				|			|	


MINUTE	| ORE		| ORE BOT	| CLAY	| CLAY BOT	| OBISIDAN	| OBSIDIAN BOT	| GEODE		| GEODE BOT
1		| 	1		| 	1		|	0	|	0		|	0		|	0			|	0		|	0
2		| 	2		| 	1		|	0	|	0		|	0		|	0			|	0		|	0
3		| 	3		| 	1		|   0	|	0		|	0		|	0			|	0		|	0
4		|	4		| 	1		|	0	|	0		|	0		|	0			|	0		|	0
5		|	1		|	1		|	0	|	1		|			|				|			|	
6		|	2		|	1		|	1	|	1		|			|				|			|	
7		|	3		|	1		|	2	|	1		|			|				|			|	
8		|	4		|	1		|	3	|	1		|			|				|			|	
9		|	1		|	1		|	4	|	2		|			|				|			|	
10		|	2		|	1		|	6	|	2		|			|				|			|	
11		|	3		|	1		|	8	|	2		|			|				|			|	
12		|	4		|	1		|	10	|	2		|			|				|			|	
13		|	1		|	1		|	12	|	3		|			|				|			|	
14		|	2		|	1		|	15	|	3		|			|				|			|	
15		|	3		|	1		|	18	|	3		|			|				|			|	
16		|	4		|	1		|	21	|	3		|			|				|			|	
17		|	1		|	1		|	24	|	4		|			|				|			|	
18		|	2		|	1		|	28	|	4		|			|				|			|	
19		|	3		|	1		|	32	|	4		|			|				|			|	
20		|	4		|	1		|	36	|	4		|			|				|			|	
21		|	1		|	1		|	40	|	5		|			|				|			|	
22		|	2		|	1		|	45	|	5		|			|				|			|	
23		|	3		|	1		|	50	|	5		|			|				|			|	
24		|	4		|	1		|	55	|	5		|			|				|			|	
