1:4;4;3,19;4,0,15;
2:4;3;2,20;2,0,9;
3:4;3;4,19;4,0,12;
4:3;3;3,17;2,0,13;
5:2;4;4,16;3,0,13;
6:4;4;4,16;2,0,15;
7:3;4;4,6;3,0,16;
8:2;3;3,11;3,0,14;
9:3;3;2,11;2,0,19;
10:3;3;2,19;2,0,12;
11:4;4;4,7;2,0,16;
12:2;2;2,7;2,0,14;
13:2;4;4,11;3,0,8;
14:4;4;3,14;4,0,8;
15:3;4;3,16;3,0,14;
16:4;3;3,18;4,0,8;
17:4;3;3,11;4,0,7;
18:4;4;2,8;3,0,9;
19:2;4;4,13;3,0,11;
20:4;4;2,17;3,0,11;
21:3;3;2,20;3,0,18;
22:3;4;3,20;3,0,14;
23:4;3;2,7;3,0,8;
24:4;3;3,20;2,0,19;
25:2;4;2,20;3,0,15;
26:3;3;3,19;3,0,17;
27:4;4;2,9;3,0,19;
28:3;3;2,19;2,0,20;
29:4;4;2,10;3,0,14;
30:4;4;4,12;4,0,19;
